ReqID,Category,User,Requirement,Dependencies,Priority,TimeEstimate
1,Must,system,The system must be compliant with AODA WCAG 2.0 Distinguishable Content to increase the system's usability for users with disabilities.,,10,0.5
2,Must,system,The system must follow privacy terms as required by WDGPH.,,10,2
3,Must,system,The system must be available on iOS 10 to iOS 12.4 to support the majority of iOS users.,,10,4
4,Must,system,The system must be available on Android 5 to Android 10 to support the majority of Android users.,,10,4
5,Must,system,The system must only be presented in the English language as it is the primary language of the WDGPH region.,,10,0.5
6,Must,system,The system must have file folder permissions on the Android platform so that photos from device storage may be used within the system.,4,10,0.5
7,Must,system,The system must have file folder permissions on the iOS platform so that photos from device storage may be used within the system.,3,10,0.5
8,Must,system,The system must be able to prompt for text input between 1 and 280 characters so that the system can collect written questionnaire responses.,4,10,0.5
9,Must,system,The system must have camera permissions on the Android platform so that the camera can be used within the system.,4,10,0.5
10,Must,system,The system must have camera permissions on the iOS platform so that the camera can be used within the system.,3,10,1
11,Must,system,The system must have location permissions on the iOS platform so that the system can automatically log the users location.,3,10,0.5
12,Must,system,The system must have location permissions on the Android platform so that the system can automatically log the user's location.,4,10,0.5
13,Must,system,"The system must be able to connect to a WDGPH server so that it can send data, so long that the user has internet access.",4,10,1
14,Must,system,The system must be available on the Google Play store so that it can be installed by all relevant Android users.,4,10,1
15,Must,system,The system must be available on the iOS App Store so that it can be installed by all relevant iOS users.,3,10,0.5
16,Must,system,The system must prompt the user to complete a questionnaire to provide the submission with relevant data.,8,10,1
17,Must,system,"The system must have the ability to receive a new session token from the server, used to identify the user's outbound requests.",13,10,0.5
18,Must,system,"The system must be able to upload submissions to WDGPH, so that WDGPH can analyze it.",17,10,4
19,Must,system,The system must assign a unique ID tag to each submission as a primary key for the database storing the information.,18,10,0.5
20,Must,system,The system must have a location included before submitting to ensure the user was near the geofenced area.,12,10,1
21,Must,system,"The system must only allow a user to submit if the submission has an image, location, and filled out questionnaire.",18,10,1
22,Must,system,The system must be compatible with Google Maps API for a simple and robust mapping system.,4,10,4
23,Must,user,The user must have the ability to drop a pin on a map to allow the user to choose the general area the tick bite occurred.,22,10,1
24,Must,system,The system must allow the user to take a picture in the app so that it can be submitted to WDGPH.,10,10,0.5
